Field,Our Data,Annotated Data,Similarity
location,"['taltola', 'mirpur']",<jashore>; <natunhat gazir dorga on the benapole-jashore highway>; <jashore sadar>; <khulna>; <jashore>; <jashore sadar>,33
location,"['karbala', 'baraigram']",<n’ganj>; <dhaka-sylhet highway in araihazar upazila>; <araihazar>; <dhaka>; <narayanganj>; <araihazar>,46
location,"['raipura', 'narsingdi']",<gazipur>; <telipara area of dhaka-mymensingh highway>; <gazipur>; <dhaka>; <gazipur>,33
location,['jigamarir'],<chattogram>; <river karnaphuli in patenga area>; <river karnaphuli in patenga area>; <chattogram>; <chattogram>; <karnaphuli>,31
location,[],<rangamati>; <house para from sajek’s ruilui para>; <sajek>; <chattogram>; <rangamati>; <sajek>,0
location,"[bhatbar in sadar upazila, sadar upazila]",<chuadanga>; <chuadanga-meherpur regional road near a filling station at alukdia area>; <chuadanga sadar>; <khulna>; <chuadanga>; <chuadanga sadar>,44
location,"['gazipur', 'telipara']",<kishoreganj>; <kishoreganj-bhairab regional highway in maddhyarchar area>; <kuliarchar>; <dhaka>; <kishoreganj>; <kuliarchar>,35
location,['mainamati'],<narsingdi>; <dhaka-sylhet highway in marjal area>; <raipura>; <dhaka>; <narsingdi>; <raipura>,31
location,"['roxy', 'madhabdi upazila', 'narshingdi']",<dhaka>; <dhaka's postagola>; <dahaka's postagola>; <dhaka>; <dhaka>,29
location,"['lalmai', 'cumilla', 'barura', 'rangamati']",<dhaka>; <kaliakair-nabinagar road in chandra area>; <kaliakair>; <dhaka>; <gazipur>; <kaliakair>,30
location,[],<feni>; <dhaka-chattogram highway in sadar upazila>; <sadar>; <chattogram>; <feni>; <sadar>,0
location,"['dagonbhuiyan', 'khulna', ""n'ganj""]",<dhaka>; <near banani’s gate no 5>; <banani>; <dhaka>; <dhaka>; <sherpur sadar>,18
location,"['kuliarchar', 'maddhyarchar', 'rangamati', 'bajitpur']",<chattogram>; <chattogram-cox’s bazar highway in lohagara upazila>; <lohagara>; <chattogram>; <chattogram>; <lohagara>,29
location,"['gazipur', 'bhuterbazar', 'kapasia', 'chattogram']",<bogura>; <at lichutala in shahjahanpur upazila>; <shahjahanpur>; <rajshahi>; <bogura>; <shahjahanpur>,31
location,['pathankandi'],<natore>; <natore's lalpur upazila>; <lalpur>; <rajshahi>; <natore>; <lalpur>,33
location,"['habiganj', 'hossainpur', 'kishoreganj']",<faridpur>; <near monikotha market in akoter char union>; <sadarpur>; <dhaka>; <faridpur>; <sadarpur>,32
location,"['taif', 'cumilla', 'parvez']",<dhaka>; <near khilgaon flyover>; <khilgaon>; <dhaka>; <dhaka>,24
location,"['khulna', 'chuknagar']",<mymensingh>; <trishal-balipara-kanurampur road>; <trishal>; <mymensingh>; <mymensingh>; <trishal>,22
location,[],<dhaka>; <mayor hanif flyover>; <dhaka>; <dhaka>; <dhaka>,0
location,"['atharkhada', 'magura', 'urura', 'mohammadpur', 'khulna', 'madrasa']",<tangail>; <sabalia area of tangail town>; <tangail>; <dhaka>; <tangail>,33
location,"['lalpur', 'biropara']","<jahsore>; <restaurant in begaritola, manirampur upazila>; <manirampur>; <khulna>; <jashore>; <manirampur>",36
location,[],<dhaka>; <walton intersection area at motijheel>; <motijheel>; <dhaka>; <dhaka>,0
location,"['munshiganj', 'rangamati', 'gazipur', 'jalasdia', 'louhajang', 'dhaka', 'chandraghona']","<kushtia>; <kushtia-ishwardi highway at bahirchar, bheramara upazila>; <bheramara>; <khulna>; <kushtia>; <bheramara>",28
